,gameId,playId,off_xpass,def_xpass
0,2022091110,347,0.58,0.58
1,2022091110,400,0.58,0.58
2,2022091110,729,0.58,0.58
3,2022091110,750,0.58,0.58
4,2022091110,774,0.58,0.58
5,2022091110,799,0.58,0.58
6,2022091110,823,0.58,0.58
7,2022091110,844,0.58,0.58
8,2022091110,870,0.58,0.58
9,2022091110,913,0.58,0.58
10,2022091110,942,0.58,0.58
11,2022091110,968,0.58,0.58
12,2022091110,994,0.58,0.58
13,2022091110,1394,0.58,0.58
14,2022091110,1418,0.58,0.58
15,2022091110,1442,0.58,0.58
16,2022091110,1623,0.58,0.58
17,2022091110,1649,0.58,0.58
18,2022091110,1695,0.58,0.58
19,2022091110,1732,0.58,0.58
20,2022091110,1821,0.58,0.58
21,2022091110,1908,0.58,0.58
22,2022091110,1937,0.58,0.58
23,2022091110,1959,0.58,0.58
24,2022091110,2000,0.58,0.58
25,2022091110,2266,0.58,0.58
26,2022091110,2287,0.58,0.58
27,2022091110,2334,0.58,0.58
28,2022091110,2356,0.58,0.58
29,2022091110,2380,0.58,0.58
30,2022091110,2587,0.58,0.58
31,2022091110,2609,0.58,0.58
32,2022091110,2925,0.58,0.58
33,2022091110,2949,0.58,0.58
34,2022091110,2978,0.58,0.58
35,2022091110,3002,0.58,0.58
36,2022091110,3026,0.58,0.58
37,2022091110,3050,0.58,0.58
38,2022091110,3071,0.58,0.58
39,2022091110,3092,0.58,0.58
40,2022091110,3140,0.58,0.58
41,2022091110,3161,0.58,0.58
42,2022091110,3185,0.58,0.58
43,2022091110,3209,0.58,0.58
44,2022091110,3231,0.58,0.58
45,2022091110,3270,0.58,0.58
46,2022091110,3578,0.58,0.58
47,2022091110,3599,0.58,0.58
48,2022091110,3623,0.58,0.58
49,2022091110,3652,0.58,0.58
50,2022091110,3674,0.58,0.58
51,2022091110,3983,0.58,0.58
52,2022091110,4008,0.58,0.58
53,2022091110,4030,0.58,0.58
54,2022091110,4056,0.58,0.58
55,2022091110,4099,0.58,0.58
56,2022091110,4137,0.58,0.58
57,2022091811,526,0.671875095435467,0.5483194375929191
58,2022091811,550,0.65315851789536,0.5483194375929191
59,2022091811,571,0.671875095435467,0.5483194375929191
60,2022091811,595,0.6896467974176953,0.5365187382922199
61,2022091811,635,0.671875095435467,0.5669558012292828
62,2022091811,1031,0.6475938211541927,0.5410299355359752
63,2022091811,1052,0.671875095435467,0.5410299355359752
64,2022091811,1076,0.648108012844855,0.5410299355359752
65,2022091811,1097,0.6375505311109027,0.5528306348366745
66,2022091811,1130,0.6715035062403483,0.5669558012292828
67,2022091811,1390,0.671875095435467,0.5709971955647948
68,2022091811,1435,0.6760901785979185,0.5709971955647948
69,2022091811,1491,0.671875095435467,0.5555579075639473
70,2022091811,1515,0.671875095435467,0.5555579075639473
71,2022091811,1581,0.6526443262046977,0.5483194375929191
72,2022091811,1602,0.6526443262046977,0.5365187382922199
73,2022091811,1623,0.682947356507728,0.5483194375929191
74,2022091811,1950,0.65315851789536,0.5777312022988016
75,2022091811,2023,0.6577525513129229,0.5483194375929191
76,2022091811,2047,0.6641321366398766,0.5669558012292828
77,2022091811,2213,0.6760901785979185,0.553369355375395
78,2022091811,2238,0.6760901785979185,0.553369355375395
79,2022091811,2262,0.689558192065932,0.553369355375395
80,2022091811,2294,0.6491369838738259,0.5804584750260742
81,2022091811,2327,0.6582667430035851,0.573185747753347
82,2022091811,2348,0.6725251162093268,0.5483194375929191
83,2022091811,2372,0.6760901785979185,0.5483194375929191
84,2022091811,2394,0.6618318053921769,0.5454653149713548
85,2022091811,2418,0.6588835725677831,0.5528306348366745
86,2022091811,2439,0.6375505311109027,0.5528306348366745
87,2022091811,2461,0.6618318053921769,0.5528306348366745
88,2022091811,2775,0.6760901785979185,0.5528306348366745
89,2022091811,2820,0.6523230960073065,0.5528306348366745
90,2022091811,2849,0.689558192065932,0.5528306348366745
91,2022091811,2892,0.6426010361614076,0.5365187382922199
92,2022091811,2913,0.6568594093671493,0.5365187382922199
93,2022091811,2937,0.6568594093671493,0.5483194375929191
94,2022091811,2958,0.6375505311109027,0.5483194375929191
95,2022091811,2980,0.6207155142758858,0.5325204217939034
96,2022091811,3100,0.6760901785979185,0.5454653149713548
97,2022091811,3121,0.6760901785979185,0.5454653149713548
98,2022091811,3145,0.6760901785979185,0.5454653149713548
99,2022091811,3169,0.676983320543692,0.5454653149713548
100,2022091811,3190,0.676983320543692,0.5454653149713548
101,2022091811,3253,0.6618318053921769,0.5782356655358228
102,2022091811,3284,0.6618318053921769,0.5528306348366745
103,2022091811,3306,0.676983320543692,0.5862407160408734
104,2022091811,3377,0.6207155142758858,0.5296662991723389
105,2022091811,3558,0.6760901785979185,0.5528306348366745
106,2022091811,3582,0.6760901785979185,0.5528306348366745
107,2022091811,3606,0.6760901785979185,0.5528306348366745
108,2022091811,3630,0.6912416937494337,0.5528306348366745
109,2022091811,3652,0.676983320543692,0.5862407160408734
110,2022091811,3673,0.6618318053921769,0.5862407160408734
111,2022091811,3698,0.6422466147543546,0.5296662991723389
112,2022091811,3753,0.6618318053921769,0.5528306348366745
113,2022091811,3777,0.6760901785979185,0.5528306348366745
114,2022091811,3805,0.6760901785979185,0.5528306348366745
115,2022091811,3834,0.6760901785979185,0.5454653149713548
116,2022091811,3858,0.6760901785979185,0.5454653149713548
117,2022091811,3901,0.6618318053921769,0.5862407160408734
118,2022091811,4010,0.6618318053921769,0.5459310377731431
119,2022091811,4032,0.6618318053921769,0.5862407160408734
120,2022091811,4054,0.6618318053921769,0.5862407160408734
121,2022091811,4076,0.6618318053921769,0.5862407160408734
122,2022091811,4177,0.6760901785979185,0.574877079677237
123,2022091811,4201,0.6760901785979185,0.574877079677237
124,2022091811,4222,0.6568594093671493,0.5454653149713548
125,2022091811,4250,0.676983320543692,0.5454653149713548
126,2022091811,4297,0.6618318053921769,0.5528306348366745
127,2022091811,4321,0.6618318053921769,0.5528306348366745
128,2022091811,4345,0.6618318053921769,0.5862407160408734
129,2022091811,4366,0.6760901785979185,0.5454653149713548
130,2022092510,55,0.6663630026788921,0.6037100960410657
131,2022092510,79,0.6386180203884553,0.6037100960410657
132,2022092510,100,0.6779581999344667,0.6069721281266273
133,2022092510,414,0.6785707948866843,0.60380578982097
134,2022092510,435,0.6779581999344667,0.6069721281266273
135,2022092510,457,0.6792672186218369,0.6069721281266273
136,2022092510,719,0.6667939256122977,0.6068636410606395
137,2022092510,748,0.6785707948866843,0.602351856548855
138,2022092510,777,0.6838821005952095,0.6102306444276429
139,2022092510,806,0.6838821005952095,0.6179061809267088
140,2022092510,1046,0.6614826199037724,0.6021578826706706
141,2022092510,1068,0.6608700249515548,0.6055181948545122
142,2022092510,1087,0.6779581999344667,0.6054199147562321
143,2022092510,1306,0.6779581999344667,0.5386690595843242
144,2022092510,1330,0.6779581999344667,0.5386690595843242
