,gameId,playId,a_mean,a_max,y_delta,dis_sum
0,2022090800,56,-0.04000000000000001,-0.010000000000000009,-0.01,-0.20000000000000004
1,2022090800,80,-4.325,-4.94,-0.05,-2.3000000000000003
2,2022090800,101,-0.646,-2.14,-0.24,-0.11000000000000001
3,2022090800,122,-0.018000000000000002,-0.009999999999999995,-0.04,-0.07
4,2022090800,167,-0.477,-1.03,-0.02,-0.12000000000000001
5,2022090800,191,-0.012999999999999998,-0.010000000000000009,-0.01,-0.10999999999999999
6,2022090800,212,-2.6710000000000003,-4.01,-4.14,-4.33
7,2022090800,236,-3.3920000000000003,-5.6,-0.21,-2.14
8,2022090800,299,-3.445,-4.41,-2.22,-2.28
9,2022090800,343,-2.142,-3.0300000000000002,-2.12,-2.0999999999999996
10,2022090800,364,-0.036,-0.049999999999999996,-0.03,-0.07
11,2022090800,393,-2.005,-3.3200000000000003,-0.01,-1.1099999999999999
12,2022090800,414,-0.517,-0.8999999999999999,-0.09,-0.32999999999999996
13,2022090800,438,-3.2359999999999998,-4.24,-1.87,-1.85
14,2022090800,467,-0.007999999999999993,-0.019999999999999997,-0.0,-0.10999999999999999
15,2022090800,486,-0.9590000000000001,-1.1,-0.07,-0.09000000000000002
16,2022090800,529,-0.012,-0.02,-0.02,-0.020000000000000004
17,2022090800,550,-1.0579999999999998,-1.09,-0.04,-2.3200000000000003
18,2022090800,569,-0.7799999999999999,-1.01,-3.73,-4.140000000000001
19,2022090800,593,-0.009000000000000001,0.0,-0.0,-0.030000000000000006
20,2022090800,617,-3.325,-4.380000000000001,-0.01,-4.33
21,2022090800,646,-0.016000000000000007,-0.03,-0.01,-0.019999999999999997
22,2022090800,692,-0.799,-1.5699999999999998,-5.33,-5.65
23,2022090800,721,-0.5050000000000001,-0.58,-0.0,-0.13
24,2022090800,775,-0.157,-0.31,-0.02,-0.020000000000000004
25,2022090800,818,-1.8170000000000002,-2.25,-0.0,-5.81
26,2022090800,867,-0.012999999999999998,0.0,0.0,0.0
27,2022090800,896,-0.03299999999999999,-0.04999999999999999,-0.09,-0.08999999999999998
28,2022090800,933,-3.9689999999999994,-5.38,-0.04,-4.08
29,2022090800,954,-0.257,-0.08999999999999997,-0.01,-0.12
30,2022090800,1009,-0.012999999999999998,-0.010000000000000002,-0.02,-0.13
31,2022090800,1030,-5.225999999999999,-5.86,-1.22,-1.94
32,2022090800,1102,-0.043,-0.08,-0.02,-0.14
33,2022090800,1126,-0.5449999999999999,-0.52,-0.02,-0.18000000000000002
34,2022090800,1187,-2.433,-5.37,-0.81,-0.84
35,2022090800,1208,0.0,0.0,0.0,0.0
36,2022090800,1230,-0.018,-0.05,-0.01,-0.05
37,2022090800,1254,-1.13,-4.73,-0.2,-0.15
38,2022090800,1286,-1.411,-4.9399999999999995,-0.35,-0.31000000000000005
39,2022090800,1315,-0.502,-0.73,-0.01,-0.24000000000000002
40,2022090800,1334,-1.3279999999999998,-1.5999999999999999,0.0,-0.43999999999999995
41,2022090800,1358,-0.859,-0.4099999999999999,-0.12,-1.1800000000000002
42,2022090800,1385,-0.013,-0.019999999999999997,-0.02,-0.009999999999999995
43,2022090800,1406,-0.08,-0.08,-0.02,-0.14
44,2022090800,1427,-0.6120000000000001,-0.69,-1.02,-1.1999999999999997
45,2022090800,1483,-0.276,-0.38,-0.02,-0.17
46,2022090800,1504,-0.612,-1.1199999999999999,-0.01,-0.05000000000000002
47,2022090800,1563,-0.059,-0.16,-0.01,-0.13999999999999999
48,2022090800,1609,-0.125,-0.35,-0.0,-0.020000000000000004
49,2022090800,1635,0.0,0.0,-0.01,-0.009999999999999998
50,2022090800,1657,-0.027000000000000003,-0.15000000000000002,-0.0,-0.14
51,2022090800,1712,-0.009,-0.04000000000000001,-0.01,-0.09999999999999999
52,2022090800,1736,-0.32300000000000006,-0.5599999999999999,-0.17,-0.17999999999999994
53,2022090800,1757,-2.621,-5.33,-0.01,-1.25
54,2022090800,1800,0.0,0.0,-0.0,0.0
55,2022090800,1836,-0.438,-0.65,-0.01,-0.38
56,2022090800,1946,-0.014999999999999993,-0.019999999999999997,-0.02,-0.11000000000000001
57,2022090800,1967,-0.022999999999999993,-0.16,0.0,0.0
58,2022090800,1991,-0.381,-0.55,-0.04,-0.12
59,2022090800,2043,-0.197,-0.43999999999999995,-0.0,-0.08
60,2022090800,2072,-0.0009999999999999992,0.0,-0.01,-0.04000000000000001
61,2022090800,2093,-0.177,-0.32999999999999996,-0.0,-0.07
62,2022090800,2137,-0.395,-1.01,-0.02,-0.03
63,2022090800,2163,-2.322,-5.83,-0.01,-0.6599999999999999
64,2022090800,2184,-0.07699999999999996,-0.5299999999999999,-0.02,-0.18000000000000002
65,2022090800,2208,-2.38,-4.720000000000001,-0.0,-0.81
