,possessionTeam,pass_rate_def,pass_rate_off
0,ARI,0.5733722060252673,0.5734639358860196
1,ATL,0.5480591497227357,0.6035751840168244
2,BAL,0.6312056737588653,0.5951307484220018
3,BUF,0.5853432282003711,0.6191261335531739
4,CAR,0.5270684371807968,0.5881782945736435
5,CHI,0.5084033613445378,0.5778894472361809
6,CIN,0.6276849642004774,0.581953642384106
7,CLE,0.5811623246492986,0.538928210313448
8,DAL,0.5934883720930233,0.5977796754910333
9,DEN,0.5868686868686869,0.5589430894308943
10,DET,0.5347288296860133,0.5824175824175825
11,GB,0.6253658536585366,0.5855689176688251
12,HOU,0.5209125475285171,0.5814931650893796
13,IND,0.6118355065195586,0.532608695652174
14,JAX,0.5476653696498055,0.6298568507157464
15,KC,0.6241666666666666,0.6552529182879377
16,LA,0.6156274664561957,0.5853080568720379
17,LAC,0.5440758293838862,0.6404077849860983
18,LV,0.5917636526410027,0.6239707227813358
19,MIA,0.5978367748279253,0.6051873198847262
20,MIN,0.5894833948339483,0.5814176245210728
21,NE,0.5513565891472868,0.5365853658536586
22,NO,0.607,0.5250501002004008
23,NYG,0.565377532228361,0.6070707070707071
24,NYJ,0.5462794918330308,0.6253902185223725
25,PHI,0.5776566757493188,0.5284403669724771
26,PIT,0.5613718411552346,0.6202307009760426
27,SEA,0.5824652777777778,0.5711111111111111
28,SF,0.5898100172711571,0.5073465859982714
29,TB,0.6756287944492628,0.6591276252019386
30,TEN,0.6566731141199227,0.5013404825737265
31,WAS,0.6053149606299213,0.5663366336633663
