,gameId,playId,pass_rate_off,pass_rate_def
0,2022102302,2655,0.654054054054054,0.6487935656836461
22,2022091809,3698,0.6888888888888889,0.4482758620689655
44,2022103004,3146,0.6122448979591837,0.680672268907563
66,2022110610,348,,0.6870229007633588
88,2022102700,2799,0.5662337662337662,0.6033254156769596
110,2022100205,2314,0.5829145728643216,0.5932203389830508
132,2022110605,3861,0.6608863198458574,0.5991902834008097
154,2022100203,3994,0.7087378640776699,0.5894736842105263
176,2022091104,3662,,
198,2022100204,1422,0.6,0.6470588235294118
220,2022100912,445,0.5814977973568282,0.6535087719298246
242,2022102306,3240,0.6037234042553191,0.592896174863388
264,2022091112,1674,,
286,2022110603,2325,0.6074380165289256,0.5925058548009368
308,2022092511,1310,0.5491803278688525,
330,2022100212,2463,0.7277777777777777,0.6493506493506493
352,2022100913,2604,0.6307692307692307,0.7198443579766537
374,2022102308,3304,,
396,2022110607,3178,0.6431372549019608,0.6410256410256411
418,2022100207,681,0.5163398692810458,0.5879120879120879
440,2022092505,3437,0.591304347826087,0.7737226277372263
462,2022100202,3292,0.6103896103896104,0.6283783783783784
484,2022091111,923,,
506,2022092506,1412,0.6766917293233082,0.5625
528,2022110300,1182,0.5336322869955157,0.5186915887850467
550,2022103011,1982,0.5946745562130178,0.618798955613577
572,2022091109,3544,,
594,2022101601,2344,0.5,0.5888157894736842
616,2022100900,3560,0.5537848605577689,0.5734597156398105
638,2022091109,2502,,
660,2022091803,1222,0.6,0.640625
682,2022092509,2694,0.6166666666666667,0.7155963302752294
704,2022102700,710,0.6737089201877934,0.6658823529411765
726,2022101700,3813,0.6440677966101694,0.6220735785953178
748,2022101608,1317,0.6959459459459459,0.5570469798657718
770,2022091806,346,0.6153846153846154,0.6888888888888889
792,2022092506,226,0.6766917293233082,0.5625
814,2022101609,888,0.6261682242990654,0.631768953068592
836,2022103007,2474,0.5513784461152882,0.6013824884792627
858,2022100913,893,0.6076555023923444,0.66
880,2022102302,1437,0.47093023255813954,0.623342175066313
902,2022092503,1755,0.6829268292682927,0.6513761467889908
924,2022100904,3693,0.45454545454545453,0.5877551020408164
946,2022092511,2008,,0.6495726495726496
968,2022103100,2098,0.5472972972972973,0.6047619047619047
990,2022100211,2256,0.6067415730337079,0.5827814569536424
1012,2022101601,1919,0.5,0.5888157894736842
1034,2022091104,4469,,
1056,2022091109,1041,,
1078,2022100209,1698,0.5789473684210527,0.7150259067357513
1100,2022103009,555,0.6774193548387096,0.6092233009708737
1122,2022092506,717,0.6766917293233082,0.5625
1144,2022103001,664,0.46770025839793283,0.5829383886255924
1166,2022103100,3727,0.5472972972972973,0.6047619047619047
1188,2022092502,64,0.6466165413533834,0.6821705426356589
1210,2022091804,699,0.6964285714285714,0.7241379310344828
1232,2022091810,1677,0.5909090909090909,0.6458333333333334
1254,2022091810,2532,0.5909090909090909,0.6458333333333334
1276,2022091107,254,,
1298,2022092900,2469,0.6515151515151515,0.6972972972972973
1320,2022091811,713,0.7636363636363637,0.625
1342,2022103001,3953,0.6017699115044248,0.6528735632183909
1364,2022103012,2252,,0.5130208333333334
1386,2022100908,552,0.6581196581196581,0.6150793650793651
1408,2022101600,177,0.503448275862069,0.6213991769547325
1430,2022091802,3557,0.640625,0.6
1452,2022110600,2292,0.4656319290465632,
1474,2022100207,1458,0.5163398692810458,0.5879120879120879
1496,2022101605,3982,0.594059405940594,0.6440129449838188
1518,2022092504,3192,0.5952380952380952,0.6347826086956522
1540,2022092503,3006,0.6666666666666666,0.61
1562,2022101604,3174,0.6357142857142857,0.5910652920962199
1584,2022110606,120,0.6754807692307693,0.6
1606,2022102000,1707,0.5822102425876011,0.6253687315634219
1628,2022091105,3712,,
1650,2022101600,1215,0.5518867924528302,0.6352201257861635
1672,2022091500,2436,0.5573770491803278,0.6842105263157895
1694,2022100903,730,0.5732758620689655,0.5381526104417671
1716,2022103002,240,0.5373134328358209,0.5210918114143921
1738,2022100907,3032,0.6531531531531531,0.5677966101694916
1760,2022102308,3207,,
1782,2022103005,121,,0.6454767726161369
1804,2022092510,2324,0.676923076923077,0.6153846153846154
1826,2022100910,3801,0.6178010471204188,0.5913978494623656
1848,2022103005,999,,0.6454767726161369
1870,2022101601,2092,0.532871972318339,0.5815602836879432
1892,2022091811,4032,0.6842105263157895,0.5573770491803278
1914,2022101610,3248,0.6394984326018809,0.6604477611940298
1936,2022092509,1988,0.6240601503759399,0.6822429906542056
1958,2022100908,2253,0.4890829694323144,0.64453125
1980,2022092200,3620,0.6578947368421053,0.6880733944954128
2002,2022101605,1360,0.594059405940594,0.6440129449838188
2024,2022100206,260,0.625,0.6368715083798883
2046,2022092506,1986,0.7611940298507462,0.6206896551724138
2068,2022100906,3633,0.6581196581196581,0.6091954022988506
2090,2022100208,1348,0.6243093922651933,0.5081967213114754
2112,2022100600,2300,0.6134453781512605,0.5714285714285714
2134,2022091811,120,0.7636363636363637,0.625
2156,2022103005,79,,0.6454767726161369
2178,2022100201,115,0.47959183673469385,0.654054054054054
2200,2022102700,1248,0.5662337662337662,0.6033254156769596
2222,2022092511,2346,0.5491803278688525,
2244,2022110604,328,0.6514423076923077,0.5920502092050209
2266,2022091806,950,0.6724137931034483,0.603448275862069
2288,2022091104,1094,,
2310,2022101000,2631,0.626984126984127,0.6
2332,2022101607,4052,0.6517241379310345,0.6277602523659306
2354,2022091101,3923,,
2376,2022100913,3486,0.6307692307692307,0.7198443579766537
2398,2022102309,3883,0.6621621621621622,0.5686274509803921
2420,2022103003,56,0.5924932975871313,0.6433734939759036
2442,2022100213,2724,0.6534090909090909,0.6777777777777778
2464,2022103012,168,0.6184834123222749,
2486,2022103001,2165,0.46770025839793283,0.5829383886255924
2508,2022091109,1772,,
2530,2022100212,2342,0.7277777777777777,0.6493506493506493
2552,2022100213,102,0.6534090909090909,0.6777777777777778
2574,2022092600,3207,0.646551724137931,0.5943396226415094
2596,2022091104,2952,,
2618,2022102302,2261,0.654054054054054,0.6487935656836461
2640,2022100903,1270,0.5732758620689655,0.5381526104417671
2662,2022091106,1380,,
2684,2022092504,3778,0.5952380952380952,0.6347826086956522
2706,2022100202,835,0.7244897959183674,0.73
2728,2022101602,496,0.6707317073170732,0.5402298850574713
2750,2022091101,63,,
2772,2022091810,3528,0.703125,0.6
2794,2022100913,3812,0.6076555023923444,0.66
2816,2022091812,2969,0.7068965517241379,0.5
2838,2022110300,2479,0.6253298153034301,0.6728971962616822
2860,2022092505,2669,0.6224489795918368,0.6228070175438597
2882,2022101000,3785,0.626984126984127,0.6
2904,2022102307,3241,0.6211699164345403,0.5944444444444444
2926,2022092507,1647,0.7217391304347827,0.6071428571428571
2948,2022100908,2582,0.6581196581196581,0.6150793650793651
2970,2022091112,2779,,
2992,2022103009,1739,0.6444444444444445,0.5454545454545454
3014,2022091812,2831,0.4339622641509434,0.5357142857142857
3036,2022092503,2659,0.6666666666666666,0.61
3058,2022101000,516,0.626984126984127,0.6
3080,2022103008,672,0.6513317191283293,
3102,2022103008,2242,0.6513317191283293,
3124,2022091804,2966,0.4482758620689655,0.5362318840579711
3146,2022102302,3372,0.654054054054054,0.6487935656836461
3168,2022102310,874,0.5880149812734082,0.6754617414248021
3190,2022100206,2678,0.625,0.6368715083798883
3212,2022102301,1493,0.6254295532646048,0.6219839142091153
3234,2022091111,1840,,
3256,2022091110,1868,,
3278,2022091810,3232,0.703125,0.6
3300,2022103003,2099,0.5924932975871313,0.6433734939759036
3322,2022091107,2478,,
3344,2022103011,1604,0.5946745562130178,0.618798955613577
3366,2022110610,1574,,0.6870229007633588
3388,2022100211,3241,0.5666666666666667,0.611764705882353
3410,2022092600,255,0.5785123966942148,0.5346534653465347
3432,2022091806,388,0.6153846153846154,0.6888888888888889
3454,2022092511,3528,,0.6495726495726496
3476,2022091106,2956,,
3498,2022103004,307,0.6122448979591837,0.680672268907563
3520,2022100901,2020,0.6133333333333333,0.6206896551724138
3542,2022092506,3191,0.7611940298507462,0.6206896551724138
3564,2022092900,1672,0.6515151515151515,0.6972972972972973
3586,2022103003,1150,0.5924932975871313,0.6433734939759036
3608,2022103009,3501,0.6774193548387096,0.6092233009708737
3630,2022110606,287,0.6754807692307693,0.6
3652,2022110700,126,0.5932539682539683,0.6790123456790124
3674,2022103011,2484,0.5946745562130178,0.618798955613577
3696,2022092512,3238,0.5041322314049587,0.4842105263157895
3718,2022091109,3568,,
3740,2022091109,1968,,
3762,2022091104,4197,,
3784,2022091500,475,0.5573770491803278,0.6842105263157895
3806,2022100912,3651,0.5814977973568282,0.6535087719298246
3828,2022100202,2685,0.7244897959183674,0.73
3850,2022103007,2142,0.5513784461152882,0.6013824884792627
3872,2022103003,2922,0.6529126213592233,0.5835616438356165
3894,2022092507,1183,0.5252525252525253,0.6194029850746269
3916,2022091104,1380,,
3938,2022102305,2493,,0.5661971830985916
3960,2022100600,4345,0.6134453781512605,0.5714285714285714
3982,2022100204,3062,0.6,0.6470588235294118
4004,2022100209,1227,0.59375,0.7204968944099379
4026,2022091803,2546,0.6,0.640625
4048,2022091113,630,,
4070,2022091112,3361,,
4092,2022103000,2174,0.6235565819861432,0.5985748218527316
4114,2022100207,3329,0.64,0.655367231638418
4136,2022101604,157,0.6357142857142857,0.5910652920962199
4158,2022092512,2639,0.5041322314049587,0.4842105263157895
4180,2022091807,1196,0.5362318840579711,0.6666666666666666
4202,2022091105,619,,
4224,2022092511,1614,,0.6495726495726496
4246,2022091100,501,,
4268,2022101000,3263,0.626984126984127,0.6
4290,2022092504,1249,0.6818181818181818,0.6715328467153284
4312,2022100206,3902,0.625,0.6368715083798883
4334,2022091111,3683,,
4356,2022102700,2581,0.6737089201877934,0.6658823529411765
4378,2022110300,2981,0.6253298153034301,0.6728971962616822
4400,2022100902,2089,0.4866920152091255,0.6550218340611353
4422,2022100205,2625,0.5829145728643216,0.5932203389830508
4444,2022100212,3549,0.7277777777777777,0.6493506493506493
4466,2022092505,2314,0.591304347826087,0.7737226277372263
4488,2022100201,2819,0.47959183673469385,0.654054054054054
4510,2022101610,1427,0.7138047138047138,0.6905537459283387
4532,2022092510,2846,0.68,0.6532258064516129
4554,2022102302,2830,0.47093023255813954,0.623342175066313
4576,2022110604,2316,0.6514423076923077,0.5920502092050209
4598,2022103007,1727,0.6334106728538283,0.5763097949886105
4620,2022092200,1419,0.6578947368421053,0.6880733944954128
4642,2022101600,1304,0.503448275862069,0.6213991769547325
4664,2022092508,1493,0.6946564885496184,0.7
4686,2022102400,1948,0.5048543689320388,0.6151761517615176
4708,2022103007,2341,0.6334106728538283,0.5763097949886105
4730,2022091812,1528,0.4339622641509434,0.5357142857142857
4752,2022092507,1698,0.5252525252525253,0.6194029850746269
4774,2022102309,1052,0.6195652173913043,0.6329479768786127
4796,2022092900,3124,0.6515151515151515,0.6972972972972973
4818,2022102300,3733,0.5396419437340153,0.6747311827956989
4840,2022101611,834,0.5363636363636364,0.6445993031358885
4862,2022110600,80,0.4656319290465632,
4884,2022091102,3943,,
4906,2022100905,1900,0.5617021276595745,0.6468253968253969
4928,2022102400,3724,0.5048543689320388,0.6151761517615176
4950,2022103010,1443,0.6142433234421365,
4972,2022091110,729,,
4994,2022100907,2546,0.7127272727272728,0.6639676113360324
5016,2022102309,2128,0.6621621621621622,0.5686274509803921
5038,2022110601,349,0.6518987341772152,0.5198237885462555
5060,2022103001,2042,0.6017699115044248,0.6528735632183909
5082,2022092513,65,,0.6634615384615384
5104,2022092500,108,0.6464646464646465,0.5454545454545454
5126,2022091100,2048,,
5148,2022100203,3662,0.5960264900662252,0.6390532544378699
5170,2022092500,2379,0.7107438016528925,0.5522388059701493
5192,2022103001,4183,0.46770025839793283,0.5829383886255924
5214,2022103010,3194,0.6142433234421365,
5236,2022102310,4212,0.6605263157894737,0.5622895622895623
5258,2022101601,3049,0.5,0.5888157894736842
5280,2022100205,87,0.6551724137931034,0.6733668341708543
5302,2022101601,3448,0.532871972318339,0.5815602836879432
5324,2022091804,4294,0.4482758620689655,0.5362318840579711
5346,2022091103,4199,,
5368,2022100204,3240,0.7107843137254902,0.6024844720496895
5390,2022100204,468,0.6,0.6470588235294118
5412,2022100904,203,0.6638655462184874,0.47639484978540775
5434,2022091113,1812,,
5456,2022101610,420,0.6394984326018809,0.6604477611940298
5478,2022110606,2376,0.6502057613168725,0.6572890025575447
5500,2022101607,489,0.67,0.6006006006006006
5522,2022102307,3942,0.6342105263157894,0.6443850267379679
5544,2022092900,3757,0.654320987654321,0.6631578947368421
5566,2022091101,1014,,
5588,2022092510,2353,0.676923076923077,0.6153846153846154
5610,2022103009,2238,0.6774193548387096,0.6092233009708737
5632,2022091800,3441,0.64,0.6153846153846154
5654,2022092507,2401,0.7217391304347827,0.6071428571428571
5676,2022100902,208,0.6696035242290749,0.5887850467289719
5698,2022100201,716,0.5227272727272727,0.6583850931677019
5720,2022091809,165,0.7241379310344828,0.6724137931034483
5742,2022092509,3541,0.6166666666666667,0.7155963302752294
5764,2022102700,2641,0.5662337662337662,0.6033254156769596
5786,2022102305,196,,0.5661971830985916
5808,2022110609,3841,0.6858316221765913,0.5828877005347594
5830,2022100911,3919,0.6553030303030303,0.6851063829787234
5852,2022100903,2353,0.6460176991150443,0.6060606060606061
5874,2022103006,1187,0.6077097505668935,0.6229508196721312
5896,2022091108,62,,
5918,2022100203,2997,0.7087378640776699,0.5894736842105263
5940,2022101605,3116,0.594059405940594,0.6440129449838188
5962,2022103002,1706,0.48021108179419525,0.6029411764705882
5984,2022102311,2048,0.6416184971098265,0.632183908045977
6006,2022091108,1440,,
6028,2022101600,219,0.503448275862069,0.6213991769547325
6050,2022101700,1489,0.6440677966101694,0.6220735785953178
6072,2022100213,1600,0.6534090909090909,0.6777777777777778
